GLORIA_ID,Organization_ID,Dataset_ID,Sample_ID,LIMNADES_ID,LIMNADES_UID,SeaBASS_ID,Data_collection_purpose,Special_event_flag,Site_name,Country,Country_code,Latitude,Longitude,Date_Time_UTC,Water_body_type,Water_type,Elevation_asl,Wave_height,Wind_speed,Cloud_fraction,Depth,Platform,Distance_from_platform,Platform_length,Platform_height,Distance_to_shore,Landcover,Topography,Distance_to_river_discharge,Optical_stability_of_water,Rain_event_hour,Instrument_manufacturer,Instrument_model,Last_calibration,Measurement_method,Lt_nadir,Lt_relative_azimuth,Lsky_zenith,Lsky_relative_azimuth,Spectral_resolution,Number_of_radiometers,Field_of_view_Lt_radiometer,Field_of_view_Lu_radiometer,Skyglint_removal,Bias_removal_in_NIR,Self_shading_correction,Viewing_angle_correction,Additional_data_corrections,Availability_of_IOPs,Sample_depth,Water_collection_equipment,Chl_method,Phaeophytin_correction,TSS_method,aCDOM_method,Chla,Chla_plus_phaeo,TSS,aCDOM440,Turbidity,Secchi_depth,AOT,Comments
GID_1,UT-TO,AlikasK_EE_UT-TO,53,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.49994,27.28475,2013-07-08T08:27,1,4,28,0.2,2,0.1,NaN,1,0.2,6,2,2.3,"2",3,5.8,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,8.16,2.67,2.53284360229345,NaN,1.85,NaN,Lake Peipsi
GID_2,UT-TO,AlikasK_EE_UT-TO,54,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.46504,27.2839,2013-07-08T09:37,1,4,28,0.1,4,0.1,NaN,1,0.2,6,2,2,"2",3,2.5,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,8.6,5.67,2.62494700601321,NaN,1.8,NaN,Lake Peipsi
GID_3,UT-TO,AlikasK_EE_UT-TO,55,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.44592,27.28435,2013-07-08T10:04,1,4,28,0.2,3,0.1,NaN,1,0.2,6,2,2,"9",3,2.3,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,7.27,8,2.57889530415333,NaN,1.8,NaN,Lake Peipsi
GID_4,UT-TO,AlikasK_EE_UT-TO,56,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.42464,27.28336,2013-07-08T10:26,1,4,28,0.2,5,0.1,NaN,1,0.2,6,2,1.8,"9",3,2.3,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,7.3,7,3.08546402461202,NaN,1.15,NaN,Lake Peipsi
GID_5,UT-TO,AlikasK_EE_UT-TO,57,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.39979,27.28791,2013-07-08T10:50,1,4,28,0.15,3,0.15,NaN,1,0.2,6,2,0.25,"9",3,2.1,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,13.05,8.67,3.03941232275214,NaN,1,NaN,Lake Peipsi
GID_6,UT-TO,AlikasK_EE_UT-TO,58,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.3159,27.45033,2013-07-08T11:44,1,4,28,0.1,4,0.25,NaN,1,0.2,6,2,1.2,"9",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,6.32,9.33,4.37491167668868,NaN,0.8,NaN,Lake Peipsi
GID_7,UT-TO,AlikasK_EE_UT-TO,59,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.36016,27.45524,2013-07-08T12:20,1,4,28,0.2,3,0.4,NaN,1,0.2,6,2,0.5,"9",3,11,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,13.19,0.75,3.3617742357713,NaN,1,NaN,Lake Peipsi
GID_8,UT-TO,AlikasK_EE_UT-TO,60,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.39495,27.44013,2013-07-08T12:46,1,4,28,0.1,1,0.7,NaN,1,0.2,6,2,1.7,"9",3,12,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,4.37,3.33,2.48679190043356,NaN,1.65,NaN,Lake Peipsi
GID_9,UT-TO,AlikasK_EE_UT-TO,61,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.41775,27.45066,2013-07-08T13:07,1,4,28,0.1,1,0.75,NaN,1,0.2,6,2,3.5,"9",3,12,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,1,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,7.51,4,2.71705040973297,NaN,1.5,NaN,Lake Peipsi
GID_10,UT-TO,AlikasK_EE_UT-TO,62,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.44412,27.28849,2013-07-09T08:38,1,4,28,0.3,5.5,0.4,5.2,1,0.2,6,2,2.4,"9",3,2.4,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,8.34,8.33,2.44074019857368,NaN,1.1,NaN,Lake Peipsi
