GLORIA_ID,Oxy_peak_height,Apparent_visible_wavelength,QWIP_score
GID_1,0.037918077,561.0023077,0.097448184
GID_2,0.030500852,562.1687566,0.080182277
GID_3,0.033179259,560.9876004,0.09310936
GID_4,0.013245928,570.0351211,0.046603383
GID_5,0.016781643,569.7212075,0.0482488
GID_6,0.020632494,573.6600346,0.039734602
GID_7,0.039559775,568.9637798,0.069146122
GID_8,0.038173075,562.1972889,0.083825979
GID_9,0.05540689,559.0748857,0.120054057
GID_10,0.003029646,558.9276452,0.134127275
GID_11,-0.046775704,559.1785469,0.099033229
GID_12,-0.046929235,561.2088324,0.075033218
GID_13,0.039860885,564.9299631,0.059862301
GID_14,0.04168875,567.108867,0.046283386
GID_15,0.044137907,565.3655755,0.060587509
GID_16,0.02286522,570.7070747,0.046769232
GID_17,0.038882957,565.9762911,0.053115319
GID_18,0.020770192,570.1085275,0.064763493
GID_19,0.045645839,560.7465499,0.208323201
GID_20,0.037763368,567.6039017,0.06775577
GID_21,0.036423514,567.1993216,0.128817139
GID_22,-0.079124319,556.986611,0.138418026
GID_23,0.037989129,569.4723971,0.045634202
GID_24,-0.108093237,561.8375196,0.106982125
GID_25,-0.072996872,554.2611259,0.102552641
GID_26,0.021694613,550.9621007,0.094384605
GID_27,-0.097465291,554.7534887,0.11489042
GID_28,0.013038503,573.8137626,0.030578152
GID_29,0.035361918,571.5923621,0.031251421
GID_30,0.030589489,574.7933885,0.019780199
GID_31,0.029728013,572.3522693,0.04098103
GID_32,0.024469897,540.1563145,0.049116407
GID_33,0.026517815,539.124923,0.070332798
GID_34,0.023975169,542.1164165,0.027311766
GID_35,0.036669646,562.3374453,0.090403053
GID_36,0.068698649,567.7555022,0.040679759
GID_37,0.091025603,560.9055033,0.06789188
GID_38,0.03403897,570.514634,-0.088309917
GID_39,0.03687954,567.6904641,0.072159954
GID_40,0.032558211,548.5678584,0.079136942
GID_41,0.021461639,547.5090471,0.079718082
GID_42,0.019790396,553.206106,0.01186267
GID_43,0.021066251,547.561037,0.078820089
GID_44,-0.300687881,542.3521958,0.147134703
GID_45,-0.136097227,544.818431,0.139037412
GID_46,-0.048879677,548.80685,0.080222234
GID_47,-0.081922655,548.3549616,0.083023161
GID_48,-0.099285192,550.8241362,0.079035621
GID_49,0.044740629,541.7743825,0.018722744
