GLORIA_ID,Noisy_red,Noisy_blue,Baseline_shift,Oxygen_signal,Negative_uv_slope,QWIP_fail,Suspect,Flagged
GID_1,0,0,0,0,0,0,0,0
GID_2,0,0,0,0,0,0,0,0
GID_3,0,0,0,0,0,0,0,0
GID_4,0,0,0,0,0,0,0,0
GID_5,0,0,0,0,0,0,0,0
GID_6,0,0,0,0,0,0,0,0
GID_7,0,0,0,0,0,0,0,0
GID_8,0,0,0,0,0,0,0,0
GID_9,0,0,0,0,0,0,0,0
GID_10,0,0,0,0,0,0,0,0
GID_11,0,0,0,0,0,0,0,0
GID_12,0,0,0,0,0,0,0,0
GID_13,0,0,0,0,0,0,0,0
GID_14,0,0,0,0,0,0,0,0
GID_15,0,0,0,0,0,0,0,0
GID_16,0,0,0,0,0,0,0,0
GID_17,0,0,0,0,0,0,0,0
GID_18,0,0,0,0,0,0,0,0
GID_19,1,0,0,0,1,1,0,1
GID_20,0,0,0,0,0,0,0,0
GID_21,0,0,0,0,1,0,0,1
GID_22,0,0,0,0,0,0,0,0
GID_23,0,0,0,0,0,0,0,0
GID_24,0,0,0,1,0,0,0,1
GID_25,0,0,0,0,0,0,0,0
GID_26,0,0,0,0,0,0,0,0
GID_27,0,0,0,0,0,0,0,0
GID_28,0,0,0,0,0,0,0,0
GID_29,0,0,0,0,0,0,0,0
GID_30,0,0,0,0,0,0,0,0
GID_31,0,0,0,0,0,0,0,0
GID_32,0,0,0,0,0,0,0,0
GID_33,0,0,0,0,0,0,0,0
GID_34,0,0,0,0,0,0,0,0
GID_35,0,0,0,0,0,0,0,0
GID_36,0,0,0,0,0,0,0,0
GID_37,0,0,1,0,0,0,0,1
GID_38,0,0,0,0,0,0,0,0
GID_39,0,0,0,0,0,0,0,0
GID_40,0,0,0,0,0,0,0,0
GID_41,0,0,0,0,0,0,0,0
GID_42,0,0,0,0,0,0,0,0
GID_43,0,0,0,0,0,0,0,0
GID_44,0,0,0,1,0,0,0,1
GID_45,0,0,0,1,0,0,0,1
GID_46,0,0,0,0,0,0,0,0
GID_47,0,0,0,0,0,0,0,0
GID_48,0,0,0,0,0,0,0,0
GID_49,0,0,0,0,0,0,0,0
GID_50,0,0,0,0,0,0,0,0
GID_51,0,0,0,0,0,0,0,0
GID_52,0,0,0,0,0,0,0,0
GID_53,0,0,0,0,0,0,0,0
GID_54,0,0,0,0,0,0,0,0
GID_55,0,0,0,0,0,0,0,0
GID_56,0,0,0,0,0,0,0,0
GID_57,0,0,0,0,0,0,0,0
GID_58,0,0,0,0,0,0,0,0
GID_59,0,0,0,0,0,0,0,0
GID_60,0,0,0,0,0,0,0,0
GID_61,0,0,0,0,0,0,0,0
GID_62,0,0,0,0,0,0,0,0
GID_63,0,0,0,0,0,0,0,0
GID_64,0,0,0,0,0,0,0,0
GID_65,0,0,0,0,0,0,0,0
GID_66,0,0,0,0,0,0,0,0
GID_67,0,0,0,0,0,0,0,0
GID_68,0,0,0,0,0,0,0,0
GID_69,0,0,0,0,0,0,0,0
GID_70,0,0,0,1,0,0,0,1
GID_71,0,0,0,0,0,0,0,0
GID_72,0,0,0,0,0,0,0,0
GID_73,0,0,0,0,0,0,0,0
GID_74,0,0,0,0,0,0,0,0
GID_75,0,0,0,0,0,0,0,0
GID_76,0,0,0,0,0,0,0,0
GID_77,0,0,0,0,0,0,0,0
GID_78,0,0,0,0,0,0,0,0
GID_79,0,0,0,0,0,0,0,0
GID_81,0,0,0,1,0,0,0,1
GID_82,0,0,0,1,0,0,0,1
GID_83,0,0,0,0,0,0,0,0
GID_84,0,0,0,0,0,0,0,0
GID_85,0,0,0,0,0,0,0,0
GID_86,0,0,0,0,0,0,0,0
GID_87,0,0,0,0,0,0,0,0
GID_88,0,0,0,0,0,0,0,0
GID_89,0,0,0,0,0,0,0,0
GID_90,0,0,0,0,0,0,0,0
GID_91,0,0,0,0,1,1,0,1
GID_92,0,0,0,1,0,0,0,1
GID_93,0,0,0,0,0,0,0,0
GID_94,0,0,0,0,1,1,0,1
GID_95,0,0,0,0,0,0,0,0
GID_96,0,NaN,0,0,NaN,0,0,0
GID_97,0,NaN,0,0,NaN,0,0,0
GID_98,0,NaN,0,1,NaN,0,0,1
GID_99,0,NaN,0,1,NaN,0,0,1
GID_100,0,NaN,0,1,NaN,0,0,1
GID_101,0,NaN,0,0,NaN,0,0,0
GID_102,0,NaN,0,0,NaN,0,0,0
GID_103,0,NaN,0,0,NaN,0,0,0
GID_104,0,NaN,0,0,NaN,0,0,0
GID_105,0,NaN,0,1,NaN,0,0,1
GID_106,0,NaN,0,0,NaN,0,0,0
GID_107,0,NaN,0,0,NaN,0,0,0
GID_108,0,NaN,1,1,NaN,0,0,1
GID_110,0,NaN,0,1,NaN,0,0,1
GID_111,0,NaN,1,1,NaN,1,0,1
GID_112,0,NaN,0,0,NaN,0,0,0
GID_113,0,NaN,0,1,NaN,0,0,1
GID_114,0,NaN,0,0,NaN,0,0,0
GID_115,0,NaN,0,0,NaN,0,0,0
