GLORIA_ID,Chl_mean,Chl_std,Chl_N,Chl_N_type,Chl_plus_phaeo_mean,Chl_plus_phaeo_std,Chl_plus_phaeo_N,Chl_plus_phaeo_N_type,TSS_mean,TSS_std,TSS_N,TSS_N_type,aCDOM_mean,aCDOM_std,aCDOM_N,aCDOM_N_type
GID_1,NaN,NaN,NaN,,8.16,2.08,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_2,NaN,NaN,NaN,,8.6,1.22,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_3,NaN,NaN,NaN,,7.27,1.61,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_4,NaN,NaN,NaN,,7.3,3.905,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_5,NaN,NaN,NaN,,13.05,1.95999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_6,NaN,NaN,NaN,,6.32,0.355,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_7,NaN,NaN,NaN,,13.19,0.975,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_8,NaN,NaN,NaN,,4.37,0.0150000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_9,NaN,NaN,NaN,,7.51,0.865000000000003,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_10,NaN,NaN,NaN,,8.34,0.395,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_11,NaN,NaN,NaN,,4.51,1.005,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_12,NaN,NaN,NaN,,5.71,0.894999999999998,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_13,NaN,NaN,NaN,,8.44,1.63,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_14,NaN,NaN,NaN,,12.6,0.295,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_15,NaN,NaN,NaN,,8.1,0.920000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_16,NaN,NaN,NaN,,7.47,3.705,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_17,NaN,NaN,NaN,,12.69,0.27,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_18,NaN,NaN,NaN,,23.06,0.799999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_19,NaN,NaN,NaN,,13.17,0.68,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_20,NaN,NaN,NaN,,14.18,0.52,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_21,NaN,NaN,NaN,,16.06,0.914999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_22,NaN,NaN,NaN,,10.68,0.255,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_23,NaN,NaN,NaN,,18.28,0.0400000000000009,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_24,NaN,NaN,NaN,,17.22,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_25,NaN,NaN,NaN,,5.8,0.46,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_26,NaN,NaN,NaN,,5.12,0.225,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_27,NaN,NaN,NaN,,7.5,0.04,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_28,NaN,NaN,NaN,,23.69,0.0600000000000005,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_29,NaN,NaN,NaN,,20.05,0.42,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_30,NaN,NaN,NaN,,23.32,0.42,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_31,NaN,NaN,NaN,,19.32,0.425000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_32,NaN,NaN,NaN,,4.85,0.0699999999999998,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_33,NaN,NaN,NaN,,5.55,0.185,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_34,NaN,NaN,NaN,,4.39,0.185,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_35,NaN,NaN,NaN,,40.96,0.460000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_36,NaN,NaN,NaN,,38.74,0.805,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_37,NaN,NaN,NaN,,12.82,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_38,NaN,NaN,NaN,,8.63,0.149999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_39,NaN,NaN,NaN,,9.3,0.195,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_40,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_41,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_42,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_43,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_44,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
